word,freq,,,
SI, SI,,,
SI, SI,,,
ANTES, PASADO,,,
AH SÍ, HUMMM,,,
FUE-con otro, a otro lado,,,
BUENO(A),1,,,
BUENO(ASL),1,,,
BUENO-BUENO,1,,,
BUENO/ BUEN,1,,,
BUENO/ PUES,1,,,
C-?-     P-E-D-R-I,1,,,
C-I-L-M-A,1,,,
C-L,1,,,
C-Y,1,,,
CABE/ MEDIDA,1,,,
CABE/ TAMAÑO/ MEDIDA,1,,,
CACHUDO,1,,,
CAER/ SE CAE,1,,,
CAERSE,1,,,
CAJA/ CUARTO,1,,,
CALLADA,1,,,
CALLE,1,,,
CALOR?,1,,,
CAMBIADA,1,,,
CAMBIAR ,1,,,
CAMBIAR DE TEMA,1,,,
CAMBIARSE DE ROPA,1,,,
CAMBIO,1,,,
CAMI------------------,1,,,
CAMINA,1,,,
CAMINA CON MULETAS,1,,,
CAMINAR - SE FUE,1,,,
CAMINAR CON MULETAS,1,,,
CAMINARON,1,,,
CAMINO,1,,,
CAMINO ,1,,,
CAMPAMENTO,1,,,
CAMPAMENTO/ CARPA/ IMÁN ,1,,,
CARA(ROSTRO),1,,,
CARRETE,1,,,
CASA ,1,,,
CASADO,1,,,
CASAR-CASAR,1,,,
CASARME,1,,,
CAÍ,1,,,
CAÍ/ CAER,1,,,
CERRAR,1,,,
CERRAR CORTINA,1,,,
CHAU - CHAU,1,,,
CHAU/ HOLA,1,,,
CHICA-CHICA,1,,,
CHICA/ NIÑA,1,,,
CHICO,1,,,
CHOCAR (CABEZA),1,,,
CHOCAR/ ACCIDENTE,1,,,
CHOCÓ EN LA CABEZA,1,,,
CINCO MIL,1,,,
CLASE,1,,,
CLASE/ COLEGIO,1,,,
CLASES/ COLEGIO,1,,,
CODO IZQUIERDO,1,,,
COJEAR,1,,,
COLEGIO,1,,,
COMPARAR ,1,,,
COMPARTE,1,,,
COMPRAR,1,,,
COMUNION/ EN COMPAÑIA,1,,,
CONTACTAR,1,,,
CONTENTA/ FELIZ,1,,,
CONVERSAR,1,,,
CONVERSAR ,1,,,
CONVIVE Ó SE JUNTÓ,1,,,
COPIAR? IMITAR?,1,,,
CORAZÓN,1,,,
CORRE COQUETA,1,,,
CORRER (ASL),1,,,
CORRER (LSP),1,,,
CORRIERON,1,,,
CORRIERON- CORRER (ASL),1,,,
CORTAR ,1,,,
CORTAR/ INTERRUMPIDA,1,,,
CORTINA ABIERTA,1,,,
COSA/ ALGO,1,,,
CREER,1,,,
CUAL,1,,,
CUENTA (UNA HISTORIA),1,,,
CUERPO,1,,,
CUERPO O TRONCO,1,,,
CUÁL? ,1,,,
CUÁNDO,1,,,
CUÁNTOS?,1,,,
DAME,1,,,
DAR,1,,,
DAR(ÁS) - DAR,1,,,
DAR/ REGALAR,1,,,
DAÑAR,1,,,
DE COLORES,1,,,
DE VERDAD,1,,,
DEBAJO,1,,,
DEBAJO Ó METERSE,1,,,
DEBO,1,,,
DECIR ,1,,,
DEJAR,1,,,
DELGADO/ FLACO,1,,,
DESAPARECIDOS,1,,,
DESAPARECIERON,1,,,
DESCANSAR,1,,,
DESPEINADA,1,,,
DESPUÉS ,1,,,
DESPUÉS Ó SIGUIENTE,1,,,
DESPUÉS/ LA PRÓXIMA,1,,,
DESPUÉS/ LUEGO,1,,,
DESPUÉS? PRÓXIMA?,1,,,
DESPÚES,1,,,
DESTRUIDO,1,,,
DETALLES/ CARACTERISTICAS/ PÉRFILES,1,,,
DETRAS DE ESTE DOS LADOS,1,,,
DETRÁS,1,,,
DIBUJO,1,,,
DICE/ DIJO,1,,,
DICEN,1,,,
DICIEMBRE- DICIEMBRE,1,,,
DIEZ - OTRO,1,,,
DIFERENTE/ DISTINTO,1,,,
DIFERENTES/ VARIOS,1,,,
DIFUNDIR,1,,,
DIFÍCIL(ASL),1,,,
DIJO/ AVISO,1,,,
DIJO/ DECIR,1,,,
DIJO/ DICE,1,,,
DINERO/ PLATA,1,,,
DISLOCAR,1,,,
DISTRAIDO,1,,,
DIVERTIR,1,,,
DOLOR DE CABEZA,1,,,
DOLOR DE CABEZA (EN ASL),1,,,
DOLOR DE CABEZA(EN LSP),1,,,
DOLOR EN LSP,1,,,
DOLOR-DOLOR-DOLOR ,1,,,
DORMIR,1,,,
DOS JUNTOS,1,,,
DOS SE ACERCAN,1,,,
DUDAR,1,,,
DUELE-DUELE,1,,,
DUEÑO(A)/ PROPIEDAD DE ALGUIEN,1,,,
DÍA,1,,,
DÓNDE-DÓNDE,1,,,
DÓNDE/ QUÉ,1,,,
